csv_column,csv_unit,imas_unit,csv_dtype,imas_dtype,imas_path,csv_description,imas_description,kind,status,notes,transform,transform_args,needs_source,source_fields,source,
NEL,,m^-3,,FLT_1D,summary/line_average/n_e,"Central line average electron density in m-3 from interferometer or LIDAR (JET). JET: NEL has been approximated if no measurement is available: Ohmic NEL ~ exp{2.931 + 0.873 ln(NEV) + 0.064 ln(NE0)}, H-mode NEL ~ exp{3.745 + 0.825 ln(NEV) + 0.092 ln(NE0)}. See NELFORM.",Electron density,dynamic,mapped,,identity,,TRUE,,,
NELFORM,,,,,,"Indicates if NEL is not a direct measurement. = 1 if NEL has been approximated by formula for JET, = 0 otherwise.",,,,Flag: NEL approximated by formula (=1) or direct measurement (=0). Database diagnostic-quality indicator; no IMAS DD equivalent. Suggest temporary or discard.,,,,,,
DNELDT,,m^-3.s^-1,,FLT_1D,summary/line_average/dn_e_dt,The time rate of change of NEL in m-3/s.,Time derivative of the electron density,dynamic,mapped,,identity,,TRUE,,,
NEV,,m^-3,,FLT_1D,summary/volume_average/n_e,The volume averaged electron density in m-3. ASDEX: From 4 HCN interferometer channels. D3D: Spline fit to CO2 and Thomson scattering data. JET: Weighted summation over 6 interferometer channels. JFT2M: Analytic fit with fixed profile shape to 2 channels.,Electron density,dynamic,mapped,,identity,,TRUE,,,
NE0,,m^-3,,FLT_1D,summary/local/magnetic_axis/n_e,"The central electron density at the magnetic axis in m-3, determined in same manner as NEV.",Electron density,dynamic,mapped,,identity,,TRUE,,,
NE0TSC,,,,,,The electron density in m-3 determined from Thomson scattering. ASDEX: Average of the 3 YAG laser channels closest to the equatorial plane. D3D: Thomson scattering point closest to the magnetic axis (< 10 cm).,,,,Central electron density from Thomson scattering specifically. Candidate: same as NE0 → summary/local/magnetic_axis/n_e with needs_source='Thomson scattering'. Caveat: NE0 is already mapped to that path via profile fit; NE0TSC and NE0 may differ when the profile fit diverges from the TS point. Suggest temporary or mapped_caveat with needs_source to distinguish.,,,,,,
ZEFF,,1,,FLT_1D,summary/line_average/zeff,Line average plasma effective charge determined from visible Bremsstrahlung.,Effective charge,dynamic,mapped,,identity,,TRUE,,,
ZEFFNEO,,,,,,"Plasma effective charge as determined by neo-classical resistivity. ASDEX: Determined such that the current profile calculated from Zeff-neo, Te(r) and Uloop is consistent with measured total Ip. JET: Determined using volume averaged quantities.",,,,Zeff from neoclassical resistivity method (vs Bremsstrahlung for ZEFF). Candidate: summary/volume_average/zeff (if neoclassical Zeff is effectively volume-averaged). Distinguish from ZEFF (line-average/zeff) using needs_source. Suggest temporary until source distinction is resolved.,,,,,,
PRAD,,W,,FLT_1D,summary/global_quantities/power_radiated,Total radiated power in watts as measured by Bolometer.,Total radiated power,dynamic,mapped,,identity,,TRUE,,,
POHM,,W,,FLT_1D,summary/global_quantities/power_ohm,"Total Ohmic power in watts. ASDEX: max{0, VSURF x IP}. AUG: VSURF x IP (VSURF corrected for flux variations). CMOD: Vres x IP (Vres corrected for inductive effects). D3D: CxB10x Ip^2 RGEO^2/(WT ne). JET: Corrected for inductance effects. JT60U SHOT<33635: VSURF x IP; SHOT>=33635: Te profile with TOPICS code. TFTR: POHM = IP x VSURF - d(3.14e-7 RGEO x IP^2 x li)/dt.",Ohmic power,dynamic,mapped,,identity,,TRUE,,,
ENBI,,,,,summary/heating_current_drive/nbi(0)/energy,Neutral beam energy weighted by power in eV. Calculated as Sum(Ei x Pi)/Sum(Pi) where Ei and Pi are beam energy and power for source i. ASDEX: Primary energy component given.,,,,ENBI is power-weighted across all NBI units; nbi(0)/energy is unit 0 only. Accept mapped_caveat for single-unit shots; multi-unit: consider temporary or formula.,,,,,,
PINJ,,,,,summary/heating_current_drive/nbi(0)/power_launched,The injected neutral beam power (beam species BGASA/BGASZ) that passes into the torus in watts. Zero if no beams on. Total NBI power = PINJ + PINJ2.,,,mapped,,identity,,TRUE,,,
BSOURCE,,,,,,"The power fractions injected by neutral beam. For example if P1 = 80%, P2 = 10% and P3 = 10% then BSOURCE = 801010.",,,,"Candidate: summary/heating_current_drive/nbi(0)/beam_power_fraction (3-element array: full/half/third-energy fractions). Matches if BSOURCE encodes energy-component split of one beam. If it is fractional power of unit 0 vs total, no DD field exists → temporary.",,,TRUE,,,
PINJ2,,,,,summary/heating_current_drive/nbi(1)/power_launched,The injected neutral beam power from a second source (species BGASA2/BGASZ2) in watts. Zero if no second-source beams on.,,,mapped,,identity,,TRUE,,,
BSOURCE2,,,,,,"The power fractions injected by neutral beam with the second source. JET 89-90 data: 781606 for 80kV D, 652114 for 140kV D, 990000 for 3He or 4He beams.",,,discard,Candidate: summary/heating_current_drive/nbi(1)/beam_power_fraction – same as BSOURCE for NBI unit 1.,identity,,TRUE,,,
COCTR,,1,,FLT_1D,summary/heating_current_drive/power_launched_nbi_co_injected_ratio,Fraction of beam power co-injected as compared to the total beam power injected.,Ratio of co-injected beam launched power to total NBI launched power. Is set to 1 for purely perpendicular injection,dynamic,mapped,,identity,,TRUE,,,
PNBI,,W,,structure,summary/heating_current_drive/power_nbi,Total injected neutral beam power minus shine through in watts. Zero if no beams on.,Total NBI power coupled to the plasma,0,,"HIGH CONFIDENCE: summary/heating_current_drive/power_nbi is 'Total auxiliary power coupled from NBI into the plasma', matching PNBI = total injected NBI minus shine-through losses.",,,,,,
PFLOSS,,,,,,Amount of neutral beam power in watts lost from the plasma through charge exchange and unconfined orbits. ASDEX: From FREYA code fits. D3D: PNBI x exp{3.3 - 2.5 IP/1e6}/100. JET: PINJ x exp{3.35 - 0.667|IP|/1e6 - 0.2 NEL/1e19}/100.,,,,No summary-level field for CX + orbit losses. Closest: distributions/.../power_first_orbit (orbit only) or shinethrough/power (not CX). Derivable as PABS - power_nbi. Suggest temporary.,,,,,,
ECHFREQ,,,,,summary/heating_current_drive/ec(0)/frequency,ECRH frequency in Hz. Zero if no ECRH is applied.,,,mapped,,identity,,TRUE,,,
ECHMODE,,,,,summary/heating_current_drive/ec(0)/polarization,Mode of ECRH waves. Possible values are: NONE If no ECRH power has been applied to discharge OFF If PECRH = 0 but PECRH > 0 at some other time in discharge O is ordinary mode X is extraordinary X+O both ordinary and extraordinary mode UNKNOWNMode of ECRH unknown,,,mapped,,dictionary,"{""O"":0,""X"":1}",TRUE,,,
ECHLOC,,,,,,Location of ECRH launch. Possible values are: NONE If no ECRH power has been applied to discharge OFF If PECRH = 0 but PECRH > 0 at some other time in discharge IN identifies waves launched from the high field side OUT is from the low field side IN+OUT from both low and high field side LFS_UP LFS_UPPERfrom low field side top UNKNOWN Location of ECRH launch unknown,,,,"No string launch-location label in summary. Closest DD field for numeric deposition location: summary/heating_current_drive/ec(0)/position (rho_tor_norm, 'position of maximum ECRH power deposition'). If ECHLOC is a string label (e.g. 'midplane', 'HFS'), no summary field exists → temporary. ec_launchers/launcher(0)/name could hold a string label (machine description IDS).",,,,,,
PECRHC,,,,,,"ECRH power in watts coupled to the plasma. Zero, if no ECRH is applied.",,,,ECRH power coupled to plasma. Candidate: summary/heating_current_drive/ec(0)/power_launched (launched from antenna ≈ coupled in most ECRH cases). Caveat: IMAS 'power_launched' = from launcher into vessel; 'coupled to plasma' in DB4v5 may be slightly less (reflection losses). For ECRH these are generally equated. Also candidate: summary/heating_current_drive/power_launched_ec for total.,,,,,,
PECRH,,,,,,ECRH power in watts absorbed by the plasma. Zero if no ECRH is applied.,,,,"ECRH power absorbed by plasma. Candidate: summary/heating_current_drive/ec(0)/power (per-unit EC power, interpreted as absorbed). Caveat: verify whether DD 'power' = 'launched' or 'absorbed/coupled'. For total: summary/heating_current_drive/power_ec.",,,,,,
ICFREQ,,,,,summary/heating_current_drive/ic(0)/frequency,"Frequency of ICRH waves in Hz. Zero, if no ICRH is applied.",,,mapped,,identity,,TRUE,,,
ICSCHEME,,,,,,ICRH heating scheme. Possible Values: NONE If no ICRH power has been applied to discharge OFF If PICRH = 0 but PICRH > 0 at some other time in discharge HMIN for H minority HE3MIN for 3He minority H2NDHARMfor 2nd harmonic H heating HE3MIN-T 3He minority in Tritium HMIN-T H minority in Tritium HHFW UNKNOWN Heating scheme not supplied,,,,"No heating-scheme label in summary. Candidate: summary/heating_current_drive/ic(0)/harmonic (integer, 'harmonic number of absorbed ICRH waves') captures part of the scheme. Full scheme string (e.g. 'H minority', 'D-3He') has no DD field. If encoding as harmonic integer, use ic(0)/harmonic as mapped_caveat; for the full label → temporary.",,,,,,
ICANTEN,,,,,summary/heating_current_drive/ic(0)/phase,Antenna phasing. Possible Values are: NONE If no ICRH power has been applied to discharge OFF If PICRH = 0 but PICRH > 0 at some other time in discharge DIPOLE Dipole phasing MONOPOLEMonopole phasing UNKNOWN Antenna phasing not supplied,,,mapped_caveat,"target path is a radian float_1D time coordinated. Possible values of source csv is MONOPOLE, DIPOLE, 0PI0PI. The last cannot be expressed as a single number?",dictionary,"{""MONOPOLE"":0,""DIPOLE"":3.14159}",TRUE,,,
PICRHC,,,,,,"ICRH power in watts coupled to the plasma. Zero, if no ICRH is applied.",,,,ICRH power coupled to plasma. Candidate: summary/heating_current_drive/ic(0)/power_launched (launched = coupled for ICRH). Analogous to PECRHC for ECRH. Same launched-vs-coupled ambiguity; ICRH reflection losses can be significant.,,,,,,
PICRH,,,,,summary/heating_current_drive/ic(0)/power,"ICRH power in watts absorbed by the plasma. Zero, if no ICRH is applied.",,,mapped,may require one-to-many,identity,,TRUE,,,
PALPHA,,,,,,"Estimated alpha heating power in Deuterium-Tritium plasmas in watts. JET: estimated as 1.601 x 10-19 x neutrons/s x 3.5 x 106 W. Set to zero, if less than 0.01 x 106 W.",,,,Alpha heating power estimate (D-T). No summary/global_quantities/power_alpha found in DD. Candidate: core_sources/source/global_quantities/total_power with fusion-alpha source identifier. Not a simple summary scalar. Suggest temporary.,,,,,,
DWDIA,,W,,FLT_1D,summary/global_quantities/denergy_diamagnetic_dt,Time rate of change of the total plasma stored energy as determined by the diamagnetic loop in watts. ASDEX: Parabolic fit over ±6 ms; set by hand when DWHC=1. D3D: (±25%). JET: Running average over ±100 ms. JFT2M: Simple derivative over ±5 ms.,Time derivative of the diamagnetic plasma energy content,dynamic,mapped,"DD path confirmed: summary/global_quantities/denergy_diamagnetic_dt (W) = 'Time derivative of the diamagnetic plasma energy content'. The CSV description says 'as determined by the diamagnetic loop' – this refers to the measurement instrument, not a different quantity: the diamagnetic loop IS the diagnostic that measures d(Wdia)/dt. Suggest mapped.",identity,,TRUE,,,
DWDIAPAR,,,,,,Time derivative for ASDEX of WDIA from a parabolic fit to the three available H-mode points. DWDIAPAR has been used in calculating TAUDIA.,,,temporary,,,,,,,
DWMHD,,W,,structure,summary/global_quantities/denergy_thermal_dt,Time rate of change of the total plasma stored energy as determined from MHD in watts. ASDEX: As for DWDIA. D3D: Spline fit to W then differentiated. JET: As for DWDIA. JFT2M: Simple derivative over ±5 ms of WMHD without correcting for li change.,Time derivative of the thermal plasma energy content,0,,DD path confirmed: summary/global_quantities/denergy_thermal_dt (W) = 'Time derivative of the thermal plasma energy content'. WMHD includes thermal + fast-particle contribution; DD path covers thermal only. Suggest mapped_caveat.,,,,,,
DWHC,,,,,,Equal to 1 when DWDIA or DWMHD have been corrected by hand for ASDEX.,,,temporary,"ASDEX hand-correction flag, no DD equivalent; suggest temporary.",,,,,,
TEV,,eV,,FLT_1D,summary/volume_average/t_e,"The volume averaged electron temperature in eV. ASDEX: From 16 radial YAG measurements fitting Te(x) = Te(0) exp(ax2+bx4+cx6). D3D: Spline fit to Thomson scattering data. JET: From 51-point ECE profile. PBXM/PDX: Computed from BETMHD, VOL, NEL assuming Zeff=1.",Electron temperature,dynamic,mapped,units???,identity,,TRUE,,,
TE0,,eV,,FLT_1D,summary/local/magnetic_axis/t_e,The electron temperature at the magnetic axis in eV. ASDEX: From 16 radial YAG measurements. D3D: Spline fit to Thomson scattering. JET: From ECE profile.,Electron temperature,dynamic,mapped,units???,identity,,TRUE,,,
TE0TSC,,,,,,"The electron temperature in eV, determined from the Thomson scattering point that is closest to the magnetic axis. ASDEX: Average of the 3 YAG laser channels closest to the equatorial plane. D3D: Thomson scattering point closest to the magnetic axis (< 10 cm).",,,,"Electron temperature at magnetic axis from Thomson scattering. Candidate: summary/local/magnetic_axis/t_e (already claimed by TE0). Same physical location, different diagnostic. Suggest mapped_caveat + needs_source='Thomson scattering', or separate temporary entry.",,,,,,
TIV,,eV,,FLT_1D,summary/volume_average/t_i_average,The volume averaged ion temperature in eV. D3D: Spline fit to charge exchange recombination data. JET: Estimated from TIV = TI0 x TEV/TE0. PBXM/PDX: TIV = TEV.,Ion temperature (average over ion species),dynamic,mapped,units???,identity,,TRUE,,,
TI0,,eV,,FLT_1D,summary/local/magnetic_axis/t_i_average,The ion temperature at the magnetic axis in eV. D3D: Spline fit to charge exchange recombination data. JET: From Crystal X-ray diagnostic.,Ion temperature (average over ion species),dynamic,mapped,units???,identity,,TRUE,,,
TICX0,,,,,,The ion temperature at the magnetic axis in eV. JET: From charge exchange recombination spectroscopy.,,,,"Ion temperature at magnetic axis from charge-exchange recombination spectroscopy. Candidate: summary/local/magnetic_axis/t_i_average (already claimed by TI0). Suggest mapped_caveat + needs_source='CX spectroscopy', or temporary.",,,,,,
WDIA,,J,,FLT_1D,summary/global_quantities/energy_diamagnetic,Total plasma energy in joules as determined from the diamagnetic loop. ASDEX: In ohmic WDIA = Wdia-meas where Wdia-meas = 0.471 x RGEO x 10-6 x IP2 x BEPDIA; in H-mode WDIA = Wdia-meas - DW. JFT2M: In ohmic WDIA = Wdia-meas; in H-mode WDIA = Wdia-meas - DW. TFTR: WDIA = 4.71 x 10-7 RGEO x IP2 x BEPDIA.,Plasma diamagnetic energy content = 3/2 * integral over the plasma volume of the total perpendicular pressure ,dynamic,mapped,,identity,,TRUE,,,
WMHD,,J,,FLT_1D,summary/global_quantities/energy_mhd,Total plasma energy in joules as determined by a MHD equilibrium fit or based on probe measurements and an estimate of li/2 (ASDEX). ASDEX: 0.471 x RGEO x 10-6 x IP2 x BEPMHD. TFTR: WMHD = WTOT currently.,Plasma energy content = 3/2 * integral over the plasma volume of the total kinetic pressure (pressure determined by an equilibrium reconstruction code),dynamic,mapped,,identity,,TRUE,,,
WKIN,,J,,FLT_1D,summary/global_quantities/energy_thermal,Total thermal plasma energy in joules as determined from kinetic measurements. ASDEX: WEKIN (1 + (7-ZEFF)/(7-1)). JET: From profile fit assuming flat Zeff and Ti profile as Te. TEXTOR: WDIA - 1.5 WFPER.,Thermal plasma energy content = 3/2 * integral over the plasma volume of the thermal pressure,dynamic,mapped,,identity,,TRUE,,,
WEKIN,,J,,FLT_1D,summary/global_quantities/energy_electrons_thermal,Total thermal electron plasma energy in joules as determined from kinetic measurements.,Thermal electron plasma energy content = 3/2 * integral over the plasma volume of the thermal electron pressure,dynamic,mapped,,identity,,TRUE,,,
WIKIN,,J,,FLT_1D,summary/global_quantities/energy_ion_total_thermal,Total thermal ion plasma energy in joules as determined from kinetic measurements. JET: From ECE temperature profile shape normalized to Ti(0) from crystal X-ray diagnostic.,Thermal ion plasma energy content (sum over the ion species) = 3/2 * integral over the plasma volume of the thermal ion pressure,dynamic,mapped,,identity,,TRUE,,,
WROT,,,,,,Rotational energy in joules. Wrot = 1/2 M V2 where M is the mass of the thermal ions and V is the thermal ion toroidal velocity. V is deduced from carbon toroidal rotation using NCLASS.,,,,Rotational energy 0.5 M V² (thermal ion toroidal rotation). No summary/global_quantities/energy_rotational confirmed. Suggest temporary.,,,,,,
WFPER,,J,,FLT_1D,summary/global_quantities/energy_fast_perpendicular,Total perpendicular fast ion energy due to NBI in joules from transport calculations. Zero if no NBI. JET: PENCIL code. JFT2M: Monte Carlo. PBXM/PDX/TEXTOR: TRANSP.,Fast particles perpendicular energy content = 3/2 * integral over the plasma volume of the fast perpendicular pressure,dynamic,mapped_caveat,,identity,,TRUE,,,
WFPAR,,J,,FLT_1D,summary/global_quantities/energy_fast_parallel,Total parallel fast ion energy due to NBI in joules from transport calculations. Zero if no NBI. JET: PENCIL code. JFT2M: Monte Carlo. PBXM/PDX/TEXTOR: TRANSP.,Fast particles parallel energy content = 3/2 * integral over the plasma volume of the fast parallel pressure,dynamic,mapped,conflict with WFICRH (127),identity,,TRUE,,,
WFFORM,,,,,,Total fast ion energy due to NBI in joules estimated from approximate formula. Zero if no NBI. ASDEX: Regression analysis from 176 FREYA runs. D3D: Slowing-down formula using critical energy and beam energy. JET: 0.16x1019xPINJ/NEV for SHOT<=18760; per-energy formula for SHOT>18760. JFT2M/PBXM/PDX: WFPER + WFPAR.,,,,No NBI-specific fast energy field in summary. Summary totals energy_fast_perpendicular and energy_fast_parallel claimed by WFPER/WFPAR. No per-source NBI fast energy exists in summary. Suggest temporary.,,,,,,
WFANI,,,,,,"Estimate of fraction of perpendicular fast ion energy compared to total fast ion energy due to NBI. If WFPER and WFPAR available, WFANI = WFPER/(WFPER+WFPAR). Zero if no NBI. ASDEX/D3D/JET: estimated from regression analyses.",,,,No anisotropy-fraction field in DD. Derivable: WFANI = energy_fast_perpendicular / (energy_fast_perpendicular + energy_fast_parallel). Suggest derived.,,,,,,
WFICRH,,,,,,Estimate of the perpendicular fast ion energy content during ICRH heating in Joules. Defined as 4/3 (DWDIA - DWMHD). Zero if no ICRH. JET: Estimated with PION code.,,,,Candidate: summary/heating_current_drive/ic(0)/energy_fast (J) – 'Fast particle energy content driven by IC waves'. Direct semantic match. Note: DD field is total IC fast energy (not split perp/parallel); WFICRH is described as perpendicular only. Accept as mapped_caveat or mapped if the perp component dominates.,,,,,,
WFICRHP,,,,,,Estimate of the parallel fast ion energy content due to ICRH heating in Joules. Zero if no ICRH. JET: Estimated with PION code.,,,,DD has no perp/parallel split per heating source; summary/heating_current_drive/ic(0)/energy_fast is total IC fast energy (candidate for WFICRH). No separate parallel IC fast energy field exists. Suggest temporary.,,,,,,
WFICFORM,,,,,,Total fast ion energy due to ICRH in joules estimated from approximate formula. Zero if no ICRH. JET: = 0.3 x (TE0/103)1.5 x PICRH x (1019/NE0) / 17 J.,,,,ICRH fast ion energy from approximate formula. Candidate: summary/heating_current_drive/ic(0)/energy_fast (total IC fast energy; already noted as candidate for WFICRH). WFICFORM is a formula-derived alternative estimate. Suggest temporary.,,,,,,
ICFORM,,,,,,"Indicates, if WFICFORM has been used in confinement calculations (=1).",,,,Flag: WFICFORM used in confinement calculations (=1). Database bookkeeping; no DD field. Suggest discard or temporary.,,,,,,
WFANIIC,,,,,,Estimate of fraction of perpendicular fast ion energy compared to total fast ion energy due to ICRH heating. Zero if no ICRH.,,,,No IC anisotropy-fraction field in DD. Derivable once WFICRH and WFICRHP are resolved: WFANIIC = WFICRH/(WFICRH+WFICRHP). Suggest derived (or temporary until WFICRH/WFICRHP are settled).,,,,,,
TAUDIA,,s,,structure,summary/global_quantities/tau_energy,Total diamagnetic energy confinement time in seconds. Defined as WDIA/(POHM + PNBI + PICRH + PECRH - DWDIA).,Energy confinement time,0,derived,"Derived quantities, however some live in temporary.",,,,,,
TAUMHD,,s,,structure,summary/global_quantities/tau_energy,Total MHD energy confinement time in seconds. Defined as WMHD/(POHM + PNBI + PICRH + PECRH - DWMHD).,Energy confinement time,0,derived,"Derived quantities, however some live in temporary.",,,,,,
TAUTH1,,s,,structure,summary/global_quantities/tau_energy,Thermal energy confinement time in seconds. Defined as WKIN/(POHM + PNBI + PICRH + PECRH - DWMHD - PFLOSS). ASDEX: DWTOT = 2/3 DWMHD + 1/3 DWDIA used instead of DWMHD.,Energy confinement time,0,derived,"Derived quantities, however some live in temporary.",,,,,,
TAUTH2,,s,,structure,summary/global_quantities/tau_energy,Thermal energy confinement time in seconds. Defined as (WMHD - WFFORM - 0.75 WFICRH)/(POHM + PNBI + PICRH + PECRH - DWMHD - PFLOSS). ASDEX: 1.5 WFANI x WFFORM and DWTOT used for WFFORM and DWMHD. PBXM/PDX: 3/4xWFPER + 3/2xWFPAR used instead of WFFORM.,Energy confinement time,0,derived,"Derived quantities, however some live in temporary.",,,,,,
WTOT,,J,,structure,summary/global_quantities/energy_total,Estimated total plasma energy content in Joules. Machine-specific definition: ASDEX: WTH+WFFORM; AUG/CMOD/D3D/JT60U/MAST/START/TCV: WMHD; COMPASS: WDIA; JET: WTH+WFPER+WFPAR+WFICRH; JFT2M: WTH+WFFORM; NSTX: WTH; PBXM/PDX: WTH+WFPER+WFPAR; TDEV: WKIN; TEXTOR/TFTR: as defined; TUMAN3M/T10: WDIA.,Plasma energy content = 3/2 * integral over the plasma volume of the total kinetic pressure,0,,HIGH CONFIDENCE: summary/global_quantities/energy_total confirmed as 'Total plasma energy content (Wmhd)'. WTOT definition varies per machine but this is the standard IMAS total energy field.,,,,,,
WTH,,,,,,Estimated thermal plasma energy content in Joules. Machine-specific definition: ASDEX: WDIA-1.5xWFANIxWFFORM; AUG: WMHD-0.75xWFPER-1.5xWFPAR; CMOD: WTOT-WFICRH; COMPASS: WDIA; D3D: WMHD-WFFORM; JET: WDIA-1.5(WFPER+WFICRH); JFT2M: WDIA/3+2xWMHD/3-WFFORM; JT60U: WKIN; MAST/START: WMHD-WFFORM; NSTX: WKIN; PBXM/PDX: WMHD-0.75xWFPER-1.5xWFPAR; TCV/TUMAN3M/T10: WDIA.,,,,"Estimated thermal plasma energy (machine-specific formulas). Candidate: summary/global_quantities/energy_thermal (already mapped to WKIN from kinetic measurements). WTH and WKIN are different estimates of the same quantity. Suggest mapped_caveat + needs_source noting the estimation method, or temporary to avoid collision with WKIN.",,,,,,
PL,,,constant_float0d(:),,,Estimated loss power not corrected for charge exchange and unconfined orbit losses in watts. Machine-specific formula differs per tokamak (POHM + heating powers - dW/dt terms).,,,temporary,,identity,,,,,
PLTH,,W,,FLT_1D,summary/global_quantities/power_loss,Estimated loss power corrected for charge exchange and unconfined orbit losses in watts. Defined as PLTH = PL - PFLOSS.,Power through separatrix,dynamic,mapped,,identity,,TRUE,,,
TAUTOT,,,,,,Estimated total energy confinement time in seconds. Defined as WTOT/PL.,,,,Total energy confinement time = WTOT/PL. Candidate: summary/global_quantities/tau_energy (already claimed by TAUDIA and TAUMHD with different definitions). Multiple TAUX variables mapping to same path is a conflict. Suggest temporary.,,,,,,
TAUTH,,,,,,Estimated thermal energy confinement time in seconds. Defined as WTH/PLTH.,,,,Thermal energy confinement time = WTH/PLTH. Same tau_energy conflict as TAUTOT. Candidate note only: summary/global_quantities/tau_energy with mapped_caveat. Suggest temporary.,,,,,,
TAUC92,,,,,,"Correction factor for thermal confinement time TAUTH (Kardaun et al., Plasma Phys. Control. Nucl. Fus. Res. 3 (1993) 251). ASDEX: 1/(1.5-0.1 bo-0.15 ca) for ELMy or 1/(1.2-0.1 bo-0.15 ca) ELM-free (bo=1 if EVAP=BOROA/BOROB; ca=1 if EVAP=CARBH). JET: 1/0.85 if 870101<=DATE<=871231. PDX: 1/((1/3)(DALFDV/DALFMP))^0.4 for ELMy. Else TAUC92=1.",,,discard,Confinement time correction factor per Kardaun et al. 1993. Database-specific empirical factor; no IMAS DD equivalent. Suggest temporary.,,,,,,
TAUC93,,,,,,"Correction factor for thermal confinement time TAUTH (Schissel et al., EPS Vol. 17C Part I (1993) 103). ASDEX: Same formula as TAUC92. PDX: 1/((1/2)(DALFDV/DALFMP))^0.4 for ELMy. Else TAUC93=1.",,,discard,Confinement time correction factor per Schissel et al. 1993. Database-specific; no DD equivalent. Suggest temporary.,,,,,,
H89,,,,,,"Enhancement factor TAUTOT x TAUC92 / ITER89-P. Scaling reference: Yushmanov et al., Nuclear Fusion 30 (1990).",,,discard,"H-factor H89 = TAUTOT×TAUC92/ITER89-P. summary/global_quantities/h_98 stores H98(y,2) only; no h_89 field exists. Suggest temporary or derived.",,,,,,
HITERL96,,,,,,"Enhancement factor TAUTH x TAUC92 / ITERL96-P. Scaling reference: Kaye et al., Nuclear Fusion 37 (1997) 1303.",,,discard,H-factor for L-mode ITERL96-P scaling. No specific h_l96 DD field found. Suggest temporary.,,,,,,
H93,,,,,,"Enhancement factor TAUTH x TAUC92 / ITERH93-P. Scaling reference: Schissel et al., EPS Vol. 17C Part I (1993) 103.",,,discard,H-factor for ITERH93-P scaling. No h_93 DD field found. Suggest temporary.,,,,,,
HITER92Y,,,,,,"Enhancement factor TAUTH x TAUC92 / ITERH92Y. Scaling reference: Kardaun et al., Plasma Phys. Control. Nucl. Fus. Res. 3 (1993) 251.",,,discard,H-factor for ITERH92Y scaling. No h_92y DD field found. Suggest temporary.,,,,,,
HEPS97,,,,,,"Enhancement factor TAUTH x TAUC93 / EPS97(ELMy). Scaling reference: Cordey et al., Plasma Phys. Control. Fusion 39 (1997) B115.",,,discard,H-factor for EPS97(ELMy) scaling. No h_eps97 DD field found. Suggest temporary.,,,,,,
HIPB98y,,,,,,"Enhancement factor TAUTH x TAUC92 / IPB98(y). Scaling reference: ITER Physics Basis Ch.2, Nuclear Fusion 39 (1999) 2175.",,,discard,"H-factor for IPB98(y) (no subscript). Candidate: summary/global_quantities/h_98 stores H98(y,2). IPB98(y) ≠ IPB98(y,2); different regression fit. Mapping would be an approximation. Caveat: TAUC92 correction also applied. Suggest temporary.",,,,,,
HIPB98y1,,,,,,"Enhancement factor TAUTH x TAUC92 / IPB98(y,1). Scaling reference: ITER Physics Basis Ch.2, Nuclear Fusion 39 (1999) 2175.",,,discard,"H-factor for IPB98(y,1) variant. Suggest temporary; no specific h_98y1 DD field found.",,,,,,
HIPB98y2,,,,,,"Enhancement factor TAUTH x TAUC92 / IPB98(y,2). Scaling reference: ITER Physics Basis Ch.2, Nuclear Fusion 39 (1999) 2175.",,,discard,"H-factor for IPB98(y,2) = standard H98 factor. Candidate: summary/global_quantities/h_98 (confirmed exists, defined as τ_E/τ_IPB98(y,2)). Caveat: DB4v5 applies TAUC92 correction (HIPB98y2 = TAUTH×TAUC92/IPB98(y,2)), whereas DD h_98 = τ_E/τ_IPB98(y,2) without TAUC92. If TAUC92≠1 for this dataset (boronised ASDEX, JET pre-88), the values differ. Suggest mapped_caveat with this noted.",,,,,,
HIPB98y3,,,,,,"Enhancement factor TAUTH x TAUC92 / IPB98(y,3). Scaling reference: ITER Physics Basis Ch.2, Nuclear Fusion 39 (1999) 2175.",,,discard,"H-factor for IPB98(y,3) variant. Suggest temporary; no h_98y3 DD field found.",,,,,,
HIPB98y4,,,,,,"Enhancement factor TAUTH x TAUC92 / IPB98(y,4). Scaling reference: ITER Physics Basis Ch.2, Nuclear Fusion 39 (1999) 2175.",,,discard,"H-factor for IPB98(y,4) variant. Suggest temporary; no h_98y4 DD field found.",,,,,,
OMGAIMP0,,,,,,Rotation frequency of impurities in center of plasma in rad/s. W = Vtor/Rlocal where Rlocal is R at the point of measurement.,,,,Impurity rotation frequency at plasma center (rad/s). DD stores velocity_phi (m/s) per species at magnetic_axis. Candidate: summary/local/magnetic_axis/velocity_phi/<impurity_species> with formula transform ω = v_phi / RGEO. Caveat: species (Carbon/Oxygen/etc.) is machine-specific. Suggest temporary until species is standardized.,,,,,,
OMGAIMPH,,,,,,Rotation frequency of impurities at the half radius in rad/s. W = Vtor/Rlocal where Rlocal is R at the point of measurement.,,,,Impurity rotation frequency at half-radius (rad/s). DD has velocity_phi at magnetic_axis only in summary; no half-radius location. Suggest temporary.,,,,,,
OMGAM0,,,,,,Rotation frequency of the main plasma species in the center in rad/s. W = Vtor/Rlocal.,,,,"Main plasma species rotation frequency at center (rad/s). Candidate: summary/local/magnetic_axis/velocity_tor/deuterium (m/s) with formula ω = v_tor/RGEO. Caveat: frequency vs velocity distinction, and species (D/H) varies. Suggest temporary.",,,,,,
OMGAMH,,,,,,Rotation frequency of main plasma species at the half radius in rad/s. W = Vtor/Rlocal.,,,,Main plasma rotation frequency at half-radius. No half-radius rotation in summary. Suggest temporary.,,,,,,
